LÍNEA 1,Afluencia,SD,LÍNEA 2,Afluencia,SD,LÍNEA 3,Afluencia
SD,SD,SD,Ermita,"1,190,808",SD,SD,SD
SD,SD,SD,General Anaya,"1,164,607",SD,SD,SD
SD,SD,SD,Tasqueña,"4,986,706",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 4,Afluencia,SD,LÍNEA 5,Afluencia,SD,LÍNEA 6,Afluencia
Santa Anita,"119,581",SD,Politécnico,"1,655,272",SD,El Rosario,"925,031"
Jamaica,"491,869",SD,Inst. del Petróleo,"358,099",SD,Tezozómoc,"348,295"
Fray Servando,"686,766",SD,Autobuses del Norte,"1,347,926",SD,Azcapotzalco,"446,697"
Candelaria,"583,135",SD,La Raza,"649,054",SD,Ferrería/Arena CDMX,"1,104,469"
Morelos,"535,266",SD,Misterios,"567,389",SD,Norte 45,"459,233"
Canal del Norte,"552,967",SD,Valle Gómez,"289,978",SD,Vallejo,"565,093"
Consulado,"246,502",SD,Consulado,"360,498",SD,Inst. del Petróleo,"166,908"
Bondojito,"423,823",SD,Eduardo Molina,"372,668",SD,Lindavista,"782,266"
Talismán,"278,407",SD,Aragón,"484,536",SD,Deptvo. 18 de Marzo,"91,958"
Martín Carrera,"1,262,703",SD,Oceanía,"561,483",SD,La Villa-Basilica,"802,441"
SD,SD,SD,Terminal Aérea,"1,343,746",SD,Martín Carrera,"1,681,954"
SD,SD,SD,Hangares,"294,295",SD,SD,SD
SD,SD,SD,Pantitlán,"6,310,133",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 7,Afluencia,SD,LÍNEA 8,Afluencia,SD,LÍNEA 9,Afluencia
El Rosario,"1,762,821",SD,Garibaldi/Lagunilla,"972,016",SD,Pantitlán,"6,518,328"
Aquiles Serdán,"669,471",SD,Bellas Artes,"1,446,931",SD,Puebla,"2,121,757"
Camarones,"962,238",SD,San Juan Letrán,"1,965,508",SD,Ciudad Deportiva,"440,372"
Refinería,"640,676",SD,Salto del Agua,"1,055,278",SD,Velódromo,"519,177"
Tacuba,"569,086",SD,Doctores,"901,323",SD,Mixiuhca,"1,395,880"
San Joaquín,"1,368,369",SD,Obrera,"1,000,508",SD,Jamaica,"883,941"
Polanco,"1,601,866",SD,Chabacano,"255,079",SD,Chabacano,"701,997"
